               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11096,            0.060996,            0.027596,           0.0035717,             0.16937,           0.0023339,          0.00056697,             0.10229,            0.038302,             0.02698,               6e-05,               6e-05,             0.09946
                   1,             0.10926,            0.063312,            0.027154,           0.0028736,             0.17254,           0.0022607,          0.00048129,            0.099302,            0.039965,            0.026332,          0.00012988,          0.00012988,             0.09883
                   2,             0.10491,            0.057205,            0.026433,           0.0028736,             0.17254,           0.0021488,          0.00047668,            0.097095,            0.041229,            0.025711,          0.00019929,          0.00019929,            0.098199
                   3,             0.10576,            0.073488,            0.026073,           0.0036722,             0.12676,           0.0024297,          0.00051544,            0.096035,             0.04187,            0.025091,          0.00026785,          0.00026785,            0.097568
                   4,             0.10275,            0.055528,            0.025275,           0.0032546,             0.13028,           0.0023701,          0.00046555,            0.095438,            0.042274,            0.024468,          0.00033519,          0.00033519,            0.096935
                   5,               0.101,            0.069428,            0.024992,           0.0042494,             0.28028,           0.0041115,          0.00095811,            0.094919,             0.04264,            0.023937,          0.00040097,          0.00040097,            0.096301
                   6,              0.1004,            0.058602,            0.023987,           0.0038198,             0.24472,           0.0026062,          0.00068959,            0.094458,            0.042941,            0.023411,          0.00046483,          0.00046483,            0.095665
                   7,             0.10129,            0.060114,            0.023695,           0.0038198,             0.24472,           0.0028892,          0.00076274,            0.094241,            0.043076,            0.022915,          0.00052644,          0.00052644,            0.095026
                   8,             0.10036,            0.070691,            0.023499,           0.0037318,              0.2412,           0.0027217,          0.00071717,            0.094121,            0.043155,             0.02248,          0.00058549,          0.00058549,            0.094385
                   9,             0.10034,            0.065356,            0.022877,           0.0038198,             0.24472,           0.0027967,           0.0007414,            0.093931,             0.04329,             0.02205,          0.00064166,          0.00064166,            0.093742
